"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C4,C5,C8,C11,C12,C13,C14,C16,C17,C18,C24,C25","100n","~","Capacitor_SMD:C_0402_1005Metric","14",""
"C3,C6,C7,C9,C10,C15,C27","4.7u","~","Capacitor_SMD:C_0402_1005Metric,RP2350_60QFN_minimal:C_0402_1005Metric_small_pads","7",""
"C19,C22,C23,C26,C30","10u","~","Capacitor_SMD:C_0805_2012Metric","5",""
"C20,C21","15p","~","Capacitor_SMD:C_0402_1005Metric","2",""
"D1","LED_Small","~","LED_SMD:LED_0402_1005Metric","1",""
"J1","BM04B-SRSS-TB","BM04B-SRSS-TB","BM04B_SRSS_TB:CONN4_BM04B-SRSS_JST","1",""
"J2,J3","NT4R1600","https://www.jae.com/en/connectors/series/detail/product/id=68912","NT4R1600:JAE_Electronics-NT4R1600-MFG","2",""
"J4","2pads","S3B-PH-SM4-TB","PADS:2pin pad_larger","1",""
"J6","MM60-52B1-E1-R650","https://www.mouser.in/datasheet/2/206/JAEIS03536_1-2550299.pdf","MM60-52B1-E1-R650:MM6052B1E1R650_mod_screw","1",""
"J7","USB4105-GF-A","","USB4105_GF_A:GCT_USB4105-GF-A","1",""
"J8,J10","S2B-PH-SM4-TB","S2B-PH-SM4-TB","JST2pin:CONN_S2B-PH-SM4-TB_JST_mod2","2",""
"L1","3.3u","~","RP2350_60QFN_minimal:L_pol_2016","1",""
"R1,R2,R6,R11","1k","~","Resistor_SMD:R_0402_1005Metric","4",""
"R3,R4","27","~","Resistor_SMD:R_0402_1005Metric","2",""
"R5,R9","100","~","Resistor_SMD:R_0402_1005Metric","2",""
"R7","33","~","Resistor_SMD:R_0402_1005Metric","1",""
"R8,R10","5.1k","~","Resistor_SMD:R_0402_1005Metric","2",""
"R12,R13","10k","~","Resistor_SMD:R_0402_1005Metric","2",""
"R14,R19","3.3k","~","Resistor_SMD:R_0402_1005Metric","2",""
"R15","100k","~","Resistor_SMD:R_0402_1005Metric","1",""
"R20","300k","~","Resistor_SMD:R_0402_1005Metric","1",""
"S1","434133025816","","434133025816:434133025816_mod","1",""
"U1","RP2350_60QFN","","RP2350_60QFN_minimal:RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias","1",""
"U2","USBLC6-2SC6","","USBLC6_2SC6:SOT95P280X145-6N","1",""
"U3","AP7361C-33Y5-13","AP7361C-33Y5-13","AP7361C_33Y5_13:SOT89-5_DIO-M_MODGND","1",""
"U4","MP2664GG-0000-Z","","MP2664GG-0000-Z:QFN50P200X200X105-10N","1",""
"Y1","ABM8-272-T3","~","adafruit:Crystal_SMD_3225-4Pin_3.2x2.5mm","1",""
